Stove type: M422,,Latitude of the PUMA device location,[64.83723],Longitude of the PUMA device location,[-148.027],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1549882944.0,2,79714,0,0.0,0.0,9.94,20.49,-10.55
1549882984.0,3,80039,325,0.001415375,0.12738375,9.94,20.5,-10.56
1549883366.0,3,79709,0,0.0,0.0,72.42,20.54,51.88
1549883444.0,4,80282,573,0.002495415,0.11517300000000001,72.87,20.54,52.33
1549883775.0,-1,-1,0,0.0,0.0,70.14,20.58,49.56
1549884075.0,-1,-1,0,0.0,0.0,68.04,20.61,47.43
1549884376.0,-1,-1,0,0.0,0.0,68.04,20.64,47.4
1549884676.0,-1,-1,0,0.0,0.0,67.57,20.67,46.9
1549884976.0,-1,-1,0,0.0,0.0,67.57,20.7,46.87
1549885277.0,-1,-1,0,0.0,0.0,68.28,20.73,47.55
1549885470.0,2,80285,3,1.3065e-05,0.00024369948186528498,67.57,20.75,46.82
1549885770.0,3,83025,2740,0.0119327,0.1431924,69.45,20.78,48.67
1549885907.0,4,84038,1013,0.004411615,0.1159256496350365,71.52,20.79,50.73
1549886238.0,-1,-1,0,0.0,0.0,69.21,20.82,48.39
1549944207.0,-1,-1,0,0.0,0.0,68.51,25.16,43.35
1549944824.0,-1,-1,0,0.0,0.0,67.33,25.16,42.17
1549945219.0,-1,-1,0,0.0,0.0,67.09,25.16,41.93
1549945519.0,-1,-1,0,0.0,0.0,67.57,25.16,42.41
1549945712.0,2,192319,108281,0.471563755,8.796007865284974,67.09,25.16,41.93
1549946012.0,4,195059,2740,0.0119327,0.1431924,70.37,25.16,45.21
1549946042.0,3,195279,220,0.0009580999999999999,0.11497199999999998,70.6,25.16,45.44
1549946144.0,4,196036,757,0.003296735,0.11635535294117647,71.74,25.16,46.58
1549946475.0,-1,-1,0,0.0,0.0,69.68,25.16,44.52
1549946775.0,-1,-1,0,0.0,0.0,69.21,25.16,44.05
1549947076.0,-1,-1,0,0.0,0.0,68.04,25.16,42.88
1549947376.0,-1,-1,0,0.0,0.0,67.33,25.16,42.17
1549947677.0,-1,-1,0,0.0,0.0,67.8,25.18,42.62
1549947959.0,2,196038,2,8.71e-06,0.00011119148936170212,67.57,25.25,42.32
1549948259.0,4,198778,2740,0.0119327,0.1431924,70.14,25.32,44.82
1549948289.0,3,198998,220,0.0009580999999999999,0.11497199999999998,70.37,25.33,45.04
1549948410.0,4,199891,893,0.003889015,0.11570623140495868,71.29,25.36,45.93
1549948740.0,-1,-1,0,0.0,0.0,69.91,25.45,44.46
1549949041.0,-1,-1,0,0.0,0.0,68.28,25.52,42.76
1549949341.0,-1,-1,0,0.0,0.0,67.57,25.6,41.97
1549949642.0,-1,-1,0,0.0,0.0,67.57,25.67,41.9
1549949942.0,-1,-1,0,0.0,0.0,67.33,25.75,41.58
1549950205.0,2,199894,3,1.3065e-05,0.00017883650190114066,67.09,25.81,41.28
1549950506.0,3,202638,2744,0.01195012,0.14292502325581397,69.91,25.89,44.02
1549950676.0,4,203891,1253,0.005456814999999999,0.11555608235294117,71.74,25.93,45.81
1549951006.0,-1,-1,0,0.0,0.0,69.91,26.01,43.9
1549951307.0,-1,-1,0,0.0,0.0,68.28,26.04,42.24
1549951607.0,-1,-1,0,0.0,0.0,67.57,26.0,41.57
1549951908.0,-1,-1,0,0.0,0.0,67.57,25.95,41.62
1549952208.0,-1,-1,0,0.0,0.0,67.57,25.91,41.66
1549952489.0,2,203895,4,1.742e-05,0.0002231743772241993,67.33,25.87,41.46
1549952789.0,4,206635,2740,0.0119327,0.1431924,70.37,25.82,44.55
1549952932.0,4,207688,1053,0.004585815,0.11544709090909092,71.74,25.8,45.94
1549953262.0,-1,-1,0,0.0,0.0,69.68,25.75,43.93
1549953563.0,-1,-1,0,0.0,0.0,68.28,25.71,42.57
1549953863.0,-1,-1,0,0.0,0.0,68.04,25.66,42.38
1549954164.0,-1,-1,0,0.0,0.0,67.09,25.62,41.47
1549954464.0,-1,-1,0,0.0,0.0,67.8,25.57,42.23
1549954584.0,2,207688,0,0.0,0.0,67.33,25.55,41.78
1549954885.0,3,210432,2744,0.01195012,0.14292502325581397,69.91,25.52,44.39
1549955027.0,4,211477,1045,0.004550975,0.11537683098591547,71.52,25.51,46.01
1549955357.0,-1,-1,0,0.0,0.0,68.98,25.49,43.49
1549955658.0,-1,-1,0,0.0,0.0,68.28,25.48,42.8
1549955958.0,-1,-1,0,0.0,0.0,68.04,25.46,42.58
1549956258.0,-1,-1,0,0.0,0.0,68.04,25.45,42.59
1549956559.0,-1,-1,0,0.0,0.0,68.51,25.43,43.08
1549956713.0,2,211479,2,8.71e-06,0.00020361038961038962,67.33,25.42,41.91
1549957013.0,4,214219,2740,0.0119327,0.1431924,70.14,25.41,44.73
1549957043.0,3,214440,221,0.000962455,0.1154946,70.6,25.41,45.19
1549957148.0,4,215217,777,0.003383835,0.1160172,70.83,25.4,45.43
1549957479.0,-1,-1,0,0.0,0.0,69.68,25.39,44.29
1549957779.0,-1,-1,0,0.0,0.0,68.51,25.37,43.14
1549958080.0,-1,-1,0,0.0,0.0,67.8,25.36,42.44
1549958380.0,-1,-1,0,0.0,0.0,67.33,25.34,41.99
1549958928.0,2,215664,447,0.0019466849999999999,0.012788441605839416,67.09,25.34,41.75
1549959245.0,3,218441,2777,0.012093834999999999,0.13734323659305991,70.83,25.34,45.49
1549959344.0,4,219083,642,0.00279591,0.10166945454545455,71.74,25.34,46.4
1549959716.0,-1,-1,0,0.0,0.0,69.91,25.34,44.57
1549960016.0,-1,-1,0,0.0,0.0,68.28,25.34,42.94
1549960317.0,-1,-1,0,0.0,0.0,68.04,25.34,42.7
1549960617.0,-1,-1,0,0.0,0.0,67.57,25.34,42.23
1549960917.0,-1,-1,0,0.0,0.0,67.09,25.34,41.75
1549960995.0,2,219083,0,0.0,0.0,67.57,25.34,42.23
1549961296.0,3,221827,2744,0.01195012,0.14292502325581397,70.37,25.34,45.03
1549961421.0,4,222752,925,0.004028375,0.1160172,71.52,25.34,46.18
1549961752.0,-1,-1,0,0.0,0.0,69.45,25.34,44.11
1549962052.0,-1,-1,0,0.0,0.0,68.28,25.33,42.95
1549962353.0,-1,-1,0,0.0,0.0,68.04,25.3,42.74
1549962653.0,-1,-1,0,0.0,0.0,67.57,25.27,42.3
1549962953.0,-1,-1,0,0.0,0.0,67.33,25.24,42.09
1549963017.0,2,222754,2,8.71e-06,0.0004899375,67.33,25.24,42.09
1549963317.0,4,225494,2740,0.0119327,0.1431924,70.6,25.21,45.39
1549963347.0,3,225715,221,0.000962455,0.1154946,70.6,25.21,45.39
1549963450.0,4,226476,761,0.003314155,0.11583454368932038,71.29,25.2,46.09
1549963781.0,-1,-1,0,0.0,0.0,69.21,25.16,44.05
1549964081.0,-1,-1,0,0.0,0.0,67.57,25.13,42.44
1549964382.0,-1,-1,0,0.0,0.0,67.8,25.1,42.7
1549964682.0,-1,-1,0,0.0,0.0,67.57,25.07,42.5
1549964983.0,-1,-1,0,0.0,0.0,67.57,25.04,42.53
1549965147.0,2,226478,2,8.71e-06,0.0001911951219512195,67.57,25.03,42.54
1549965447.0,3,229222,2744,0.01195012,0.14340144,70.37,25.0,45.37
